[17:05:37:653212 --7:00] [Thread 1464] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_DuctTape FOR 300 POPTABS | PLAYER TOTAL MONEY: 1144
[17:05:38:797020 --7:00] [Thread 4148] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_DuctTape FOR 300 POPTABS | PLAYER TOTAL MONEY: 844
[17:05:39:825965 --7:00] [Thread 1464] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_DuctTape FOR 300 POPTABS | PLAYER TOTAL MONEY: 544
[17:05:40:594922 --7:00] [Thread 4148] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_DuctTape FOR 300 POPTABS | PLAYER TOTAL MONEY: 244
[17:05:46:905503 --7:00] [Thread 1464] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Rangefinder FOR 200 POPTABS | PLAYER TOTAL MONEY: 44
[17:06:37:744980 --7:00] [Thread 4148] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_PowerDrink FOR 60 POPTABS | PLAYER TOTAL MONEY: 584
[17:06:38:777632 --7:00] [Thread 1464] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_PowerDrink FOR 60 POPTABS | PLAYER TOTAL MONEY: 524
[17:06:40:486908 --7:00] [Thread 4148] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 470
[17:06:41:561828 --7:00] [Thread 1464] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_EMRE FOR 54 POPTABS | PLAYER TOTAL MONEY: 416
[17:07:00:411432 --7:00] [Thread 4148] PLAYER: ( 76561198016299112 ) R Moisturizers:1 (Scott) REMOTE PURCHASED ITEM Exile_Item_Vishpirin FOR 300 POPTABS | PLAYER TOTAL MONEY: 116
